0,1,2,3,4,5,6,7,8,9
0.224,0.261,0.301,0.323,0.345,0.391,0.44,0.49,0.539,0.564
0.216,0.252,0.291,0.312,0.334,0.38,0.428,0.478,0.528,0.553
0.209,0.244,0.282,0.303,0.325,0.37,0.418,0.467,0.517,0.542
0.202,0.236,0.274,0.294,0.315,0.36,0.407,0.456,0.506,0.531
0.195,0.229,0.266,0.286,0.307,0.351,0.397,0.446,0.496,0.521
0.189,0.222,0.258,0.278,0.298,0.342,0.388,0.436,0.486,0.511
0.183,0.215,0.251,0.27,0.29,0.333,0.379,0.427,0.477,0.502
0.178,0.209,0.244,0.263,0.283,0.325,0.371,0.418,0.468,0.493
0.173,0.203,0.238,0.256,0.276,0.318,0.362,0.41,0.459,0.484
